#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:50:30      3  1101     5   100     0     0     0
 20221031   10:50:35      0  1841     5   100     0     0     0
 20221031   10:50:35      1  1069     5     0     0     0     0
 20221031   10:50:35      2  1069     5     0     0     0     0
 20221031   10:50:35      3  1069     5     0     0     0     0
 20221031   10:50:40      0  1841     5   100     0     0     0
 20221031   10:50:40      1   813     5     0     0     0     0
 20221031   10:50:40      2   813     5     0     0     0     0
 20221031   10:50:40      3   813     5     0     0     0     0
 20221031   10:50:45      0  1841     5   100     0     0     0
 20221031   10:50:45      1   813     5     0     0     0     0
 20221031   10:50:45      2   813     5     0     0     0     0
 20221031   10:50:45      3   813     5     0     0     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:50:50      0  1841     5   100     0     0     0
 20221031   10:50:50      1     2     3     0     0     0     0
 20221031   10:50:50      2     2     3     0     0     0     0
 20221031   10:50:50      3     2     3     0     0     0     0
 20221031   10:50:55      0  1841     5   100     0     0     0
 20221031   10:50:55      1     2     3     0     0     0     0
 20221031   10:50:55      2     2     3     0     0     0     0
 20221031   10:50:55      3     2     3     0     0     0     0
 20221031   10:51:00      0  1841     5   100     0     0     0
 20221031   10:51:00      1     2     3     0     0     0     0
 20221031   10:51:00      2     2     3     0     0     0     0
 20221031   10:51:00      3     2     3     0     0     0     0
 20221031   10:51:05      0  1841     5   100     0     0     0
 20221031   10:51:05      1     2     3     0     0     0     0
 20221031   10:51:05      2     2     3     0     0     0     0
 20221031   10:51:05      3     2     3     0     0     0     0
 20221031   10:51:10      0  1841     5   100     0     0     0
 20221031   10:51:10      1     2     3     0     0     0     0
 20221031   10:51:10      2     2     3     0     0     0     0
 20221031   10:51:10      3     2     3     0     0     0     0
 20221031   10:51:15      0  1841     5   100     0     0     0
 20221031   10:51:15      1     2     3     0     0     0     0
 20221031   10:51:15      2     2     3     0     0     0     0
 20221031   10:51:15      3     2     3     0     0     0     0
 20221031   10:51:20      0  1841     5   100     0     0     0
 20221031   10:51:20      1     2     3     0     0     0     0
 20221031   10:51:20      2     2     3     0     0     0     0
 20221031   10:51:20      3     2     3     0     0     0     0
 20221031   10:51:25      0  1841     5   100     0     0     0
 20221031   10:51:25      1     2     3     0     0     0     0
 20221031   10:51:25      2     2     3     0     0     0     0
 20221031   10:51:25      3     2     3     0     0     0     0
 20221031   10:51:30      0  1841     5   100     0     0     0
 20221031   10:51:30      1     2     3     0     0     0     0
 20221031   10:51:30      2     2     3     0     0     0     0
 20221031   10:51:30      3     2     3     0     0     0     0
 20221031   10:51:35      0  1841     5   100     0     0     0
 20221031   10:51:35      1     2     3     0     0     0     0
 20221031   10:51:35      2     2     3     0     0     0     0
 20221031   10:51:35      3     2     3     0     0     0     0
 20221031   10:51:40      0  1841     5   100     0     0     0
 20221031   10:51:40      1     2     3     0     0     0     0
 20221031   10:51:40      2     2     3     0     0     0     0
 20221031   10:51:40      3     2     3     0     0     0     0
#Date       Time        gpu    fb  bar1    sm   mem   enc   dec
#YYYYMMDD   HH:MM:SS    Idx    MB    MB     %     %     %     %
 20221031   10:51:45      0  1841     5   100     0     0     0
 20221031   10:51:45      1     2     3     0     0     0     0
 20221031   10:51:45      2     2     3     0     0     0     0
 20221031   10:51:45      3     2     3     0     0     0     0
 20221031   10:51:50      0  1841     5   100     0     0     0
 20221031   10:51:50      1     2     3     0     0     0     0
 20221031   10:51:50      2     2     3     0     0     0     0
 20221031   10:51:50      3     2     3     0     0     0     0
 20221031   10:51:55      0  1841     5   100     0     0     0
 20221031   10:51:55      1     2     3     0     0     0     0
 20221031   10:51:55      2     2     3     0     0     0     0
 20221031   10:51:55      3     2     3     0     0     0     0
 20221031   10:52:00      0  1841     5   100     0     0     0
 20221031   10:52:00      1     2     3     0     0     0     0
 20221031   10:52:00      2     2     3     0     0     0     0
 20221031   10:52:00      3     2     3     0     0     0     0
 20221031   10:52:06      0  1841     5   100     0     0     0
 20221031   10:52:06      1     2     3     0     0     0     0
 20221031   10:52:06      2     2     3     0     0     0     0
 20221031   10:52:06      3     2     3     0     0     0     0
 20221031   10:52:11      0  1841     5   100     0     0     0
 20221031   10:52:11      1     2     3     0     0     0     0
 20221031   10:52:11      2     2     3     0     0     0     0
 20221031   10:52:11      3     2     3     0     0     0     0
 20221031   10:52:16      0  1841     5   100     0     0     0
 20221031   10:52:16      1     2     3     0     0     0     0
 20221031   10:52:16      2     2     3     0     0     0     0
 20221031   10:52:16      3     2     3     0     0     0     0
 20221031   10:52:21      0  1841     5   100     0     0     0
 20221031   10:52:21      1     2     3     0     0     0     0
 20221031   10:52:21      2     2     3     0     0     0     0
 20221031   10:52:21      3     2     3     0     0     0     0
 20221031   10:52:26      0  1841     5   100     0     0     0
 20221031   10:52:26      1     2     3     0     0     0     0
